Start Training...
========== Hyperparameters ==========
Batch size: 256
Epochs: 20
Optimizer: adam
Learning Rate: 0.001
Number of Parameters: 295770
Number of Trainable Parameters: 295770
=====================================
>>>>> EPOCH 0: validation loss: 2.39, validation accuracy: 9.19%, validation f1: 0.0311 <<<<<
EPOCH 1/20
(216.21s) [19200/40000] loss: 1.2079, acc: 58.5938%, f1: 0.5868
(217.03s) [19456/40000] loss: 1.0653, acc: 63.6719%, f1: 0.6388
(217.84s) [19712/40000] loss: 1.0397, acc: 62.5%, f1: 0.6065
(218.67s) [19968/40000] loss: 1.1177, acc: 61.7188%, f1: 0.6131
(219.49s) [20224/40000] loss: 1.0922, acc: 59.7656%, f1: 0.5941
(220.32s) [20480/40000] loss: 1.0629, acc: 62.8906%, f1: 0.6141
(221.09s) [20736/40000] loss: 1.0539, acc: 62.8906%, f1: 0.6271
(221.87s) [20992/40000] loss: 0.9192, acc: 69.1406%, f1: 0.6769
(222.67s) [21248/40000] loss: 1.0849, acc: 63.2812%, f1: 0.632
(223.5s) [21504/40000] loss: 0.9499, acc: 68.3594%, f1: 0.6726
(224.33s) [21760/40000] loss: 1.0524, acc: 63.2812%, f1: 0.6147
(225.18s) [22016/40000] loss: 0.9936, acc: 62.1094%, f1: 0.6123
(226.07s) [22272/40000] loss: 1.0801, acc: 60.5469%, f1: 0.5972
(226.93s) [22528/40000] loss: 1.1327, acc: 59.375%, f1: 0.589
(227.76s) [22784/40000] loss: 1.1135, acc: 58.5938%, f1: 0.5731
(228.62s) [23040/40000] loss: 1.0067, acc: 64.4531%, f1: 0.6413
(229.49s) [23296/40000] loss: 1.0381, acc: 60.1562%, f1: 0.5902
(230.37s) [23552/40000] loss: 1.1204, acc: 60.5469%, f1: 0.5897
(231.23s) [23808/40000] loss: 0.9572, acc: 66.4062%, f1: 0.646
(232.14s) [24064/40000] loss: 1.0169, acc: 64.0625%, f1: 0.6132
(233.01s) [24320/40000] loss: 1.0497, acc: 62.1094%, f1: 0.6109
(233.89s) [24576/40000] loss: 1.0431, acc: 64.4531%, f1: 0.6339
(234.72s) [24832/40000] loss: 1.0349, acc: 65.2344%, f1: 0.6511
(235.57s) [25088/40000] loss: 1.0524, acc: 60.9375%, f1: 0.6133
(236.37s) [25344/40000] loss: 0.9777, acc: 64.8438%, f1: 0.6415
(237.2s) [25600/40000] loss: 1.0655, acc: 62.8906%, f1: 0.6329
(238.01s) [25856/40000] loss: 1.077, acc: 60.1562%, f1: 0.6013
